,토픽,검색어,발행일,언론사,타이틀,뉴스URL,요약키워드,컨텐트,제목내최초기업명,기업기준동일기사개수_이틀간,지피티스코어,제목스코어,크롤링일자,기업기준동일기사개수_일주일,뉴스전문,발행일시,인덱스,중복기업기사제거
0,IPO,기술특례상장,2023-06-18,비즈워치,"[공모주달력]알멕, 시큐센, 오픈놀 등 5개사 공모청약",http://news.bizwatch.co.kr/article/market/2023/06/16/0032,"[공모주달력], [버넥트], [이노시뮬레이션], [XR]",아직 본격적인 이익을 내지 못하고 있어 기술성장 특례로 상장에 도전해요. 2025년 151억원의 당기순이익을 가정해 1만1000원~1만3500원의 희망공모가를 산정했어요. 최대주주는 창업자인 권인택 대표(48.9... ,알멕,2.0,8.5,1.0,2023-06-18,14.0,"버넥트, 이노시뮬레이션 수요예측6월 넷째주 공모주 일정을 알아볼게요. 공모주달력 6월 넷째주/그래픽=유상연 기자 prtsy201@버넥트, 이노시뮬레이션 수요예측이번 주 수요예측은 기업인수목적회사인 교보스팩14호(19~20일), 버넥트(19~20일), 이노시뮬레이션(21~22일)이 예정돼 있어요. 버넥트는 산업용 확장현실(XR) 기술 기업이에요. 산업현장을 3차원으로 디지털화해 원격에서 실시간으로 현장 정보를 확인하고 위험요소를 파악하거나 해결할 수 있는 서비스를 제공해요. 카이스트 교수 출신 하태진 대표가 2016년 XR분야 전문가들과 모여 설립했고, 자체 개발한 XR 원천기술을 가지고 있어요. 임직원의 75%가 연구개발 인력이에요.매출은 2020년 21억원, 2021년 35억원, 2022년 50억원으로 매년 늘고 있고요. 올해 1분기에도 11억원의 매출을 올렸어요. 사업 초기 한국전력공사와 한국가스공사 등에 제품을 공급하기도 했고요. LG그룹, 현대중공업그룹 그룹 등으로 매출처를 넓히고 있어요. 2019년 산업은행 등에서 90억원, 지난해는 300억원의 투자를 유치했고, 한화가 전략적투자자(SI)로 참여해 100억원을 투자, 지분 10%를 보유하고 있어요. 단 XR컨설팅 산업이 초기 단계인 만큼 수익성은 아직 부진한 상황. 설립 이후 영업손실과 적자가 이어지면서 올해 1분기 연결기준 누적 결손금 231억원을 기록하고 있어요. 상장공모 주식은 160만주. 100% 신주모집 방식으로 진행해요. 2025년 96억원의 당기순이익을 가정해 희망공모가격 1만1500원~1만3600원을 산출했어요. 공모자금은 연구개발과 운영자금으로 사용할 예정.이노시뮬레이션은 2000년 설립한 확장현실(XR) 시뮬레이터 전문기업이에요.자동차 시뮬레이터를 개발해 현대차그룹에 공급한 것을 시작으로 철도, 중장비, 항공우주, 해양선박, 국방 등으로 분야를 확대했어요. 현재는 자동차, 항공기 등 모빌리티 분야뿐 아니라 자체 기술을 기반으로 XR 가상훈련, XR 디바이스, XR 콘텐츠 등으로 사업영역을 넓히고 있어요. 스마트 모빌리티와 XR 가상훈련 분야를 중심으로 매출이 성장하고 있고, 자율주행 자동차 기술 고도화로 스마트 모빌리티 분야 성장세가 주목돼요. 연결 기준 매출액은 2020년 93억원, 2021년 140억원, 2022년 168억원. 올해 1분기에는 24억원을 기록했어요. 같은 기간 영업손실이 48억원, 3억원, 17억원, 7억원을 기록해 적자를 벗어나진 못하고 있어요.기술성장 특례를 적용해 상장에 도전. 2025년 추정 당기순이익 115억원을 올해 1분기 현재 가치로 환산한 62억원으로 희망공모가를 산정했어요. 지난해 말 48억원의 당기순손실을 기록한 것과 비교하면 차이가 커요. 회사는 증권신고서 정정으로 공모일정을 약 2주가량 미뤘는데요. 올해 추정 매출액과 2024~2025년 사업수주 예상 프로젝트 영업현황 등 미래 추정수익 관련 내용을 수정했어요. 희망공모가는 1만3000원~1만5000원. 총 공모주식수는 90만주로 100% 신주모집 방식으로 진행해요. 최대주주는 조준희 대표(22.6%). 특수관계인 지분을 포함하면 31.8%로 조 대표는 상장후 3년간 주식을 팔지 않기로 약속했어요. 대표주관사는 하나증권, 상장 후 유통가능물량은 44.24%(345만9866주)예요. 수요예측이 예정됐던 틸론, 에이엘티는 증권신고서 정정을 이유로 일정을 연기했어요. 알멕, 시큐센, 오픈놀 등 5곳 청약 이번 주에는 19~20일 하나스팩29호, KB스팩24호의 청약을 시작으로 20~21일 알멕과 시큐센, 21~22일 오픈놀이 연이어 청약을 진행해요. KB스팩24호는 공모가가 일반적인 스팩주보다 높은 1만원인 점 참고해 주시고요. 청약이 연달아 있는 만큼 다양한 공모주에 투자하는 투자자라면 전략을 잘 짜야 할 것으로 보여요. 알멕은 전기차 베터리용 알루미늄 부품 제조 기업이에요. LG에너지솔루션, SK온 등을 고객사로 두고 있고, GM·리비안 등이 제조하는 글로벌 전기차에 제품을 장착하고 있어요. 매출액은 2021년 828억원에서 지난해 1567억원으로 급성장했고, 올해는 1분기에만 537억원의 매출을 올렸어요. 2021년 68억원의 영업손실과 135억원의 당기순손실을 냈었는데요. 지난해부터 흑자로 전환했어요. 지난해 영업이익은 112억원, 당기순이익은 54억이에요. 알멕 최대주주는 비상장사 다이엑스(31.87%)인데요. 다이엑스는 알멕 박준표 부회장이 지분 66.7%를 보유한 비상장사예요. 2대 주주 유한회사인 아리아(29.41%)와 지분율 차이가 크지 않은데요. 2년간 의결권 행사 협조 약정을 맺고, 상장일 이후 다이엑스는 2년 아리아는 1년간 지분을 매각하지 않기로 약속했어요. 상장공모는 100% 신주모집(100만주) 방식으로 진행하고 NH투자증권을 통해 청약할 수 있어요. 공모가는 수요예측 결과를 반영해 희망가(4만원~4만5000원) 보다 높은 5만원으로 결정했어요. 상장일 유통물량은 31.53%(우선주 제외, 183만3048주)예요. 시큐센은 디지털 보안기술 전문업체예요. 보험사나 은행 앱(App)에 생체인증, 전자서명과 같은 바이오인증 서비스를 제공하고 금융·보안 플랫폼도 제공하고 있어요. 코넥스에서 코스닥으로 이전 상장을 준비 중으로 2021년 한차례 일정을 철회한 후 이번이 두 번째 도전이에요. 매출액은 2020년 149억원에서 2022년 395억원으로 늘었고, 같은 기간 영업이익도 2억원에서 21억원으로 늘었어요. 2020년엔 1억원의 당기순손실을 내기도 했는데요. 2021년 흑자 전환 후 2022년 22억원의 순이익을 기록했어요.최대주주는 코스피 상장사인 콤텍시스템(30.05%). 콤텍시스템은 코스닥 상장사인 아이티센이 지분 25%를 보유한 회사. 따라서 시큐센의 최상위 지배기업은 아이티센이에요. 아이티센은 IT서비스, IT컨설팅을 제공하는 회사로 18개 회사를 거느린 IT그룹이에요. IT그룹 계열사인만큼 사업에 시너지가 날 수 있지만, 사업영역이 겹치면 이해상충이 발생할 수 있다는 점. 대신 아이티센은 시큐센이 계열사로 있는 동안 회사를 분할하거나 영업 양도를 하지 않겠다고 약속했어요. 시큐센 희망공모가격은 2000원~2400원. 100% 신주모집(194만8000주) 방식으로 진행하고요. 신한투자증권을 통해 청약할 수 있어요. 상장 후 유통가능물량은 기존 개인투자자와 기관투자자 물량(공모후 기준 34.6%)이 포함된 74.5%(858만3657주)에 달한다는 점. 오픈놀은 채용·교육 플랫폼 기업이에요. 회사와 구직자를 연결해주는 온·오프라인 매칭 플랫폼 '미니인턴'을 주력 서비스로 하고 있어요. 매출액은 2020년 70억원에서 2021년 108억원, 2022년 162억원으로 성장하고 있는데요. 아직 본격적인 이익을 내지 못하고 있어 기술성장 특례로 상장에 도전해요. 2025년 151억원의 당기순이익을 가정해 1만1000원~1만3500원의 희망공모가를 산정했어요. 최대주주는 창업자인 권인택 대표(48.9%). 특수관계인인 신준수 CFO(최고재무책임자) 지분까지 포함하면 총 61.2%를 보유하고 있어요. 상장 후 3년간 지분 보유를 약속했어요. 총 165만주를 모집하고요. 이 중 25.2%(41만5970주)는 구주매출, 나머지 74.8%(123만4030주)는 신주모집 방식으로 진행해요. 구주매출은 권인택 대표(35만주)와 회사가 가진 자사주(6만5970주)예요. 상장 당일 유통물량은 26.36%(258만4985주). 하나증권을 통해 청약할 수 있고, 확정공모가는 청약 하루 전인 20일 발표해요.스팩주 상장, 마녀공장·모니터랩 등 락업 해제 이밖에 지난주 청약을 마친 스팩주 3곳이 나란히 코스닥에 상장하는데요. 하이스팩8호가 22일 NH스팩29호와 KB스팩25호가 23일 상장해요. 상장 기업 중 기관투자자 의무보유확약 해제 일정도 알아볼게요. 6월 둘째 주 상장 후 첫 해제 일정이 있는 마녀공장은 23일 3만2283주의 확약 물량이 풀려요. 마녀공장 주가(이하 16일 종가)는 공모가(1만6000원)보다 2배 이상 높은 가격에 거래되고 있어 물량 출회 가능성이 있어요. 상장 1개월이 지난트루엔(이하 확약물량 6만5080주), 씨유박스(2만5646주), 모니터랩(3만6355주)은 19일 확약 물량 락업이 해제돼요. 트루엔, 모니터랩 주가는 공모가 대비 20%안팎에서 오른 채 거래 중인 점도 참고해 주세요. *공모주 수요예측 및 청약 일정은 증권신고서 중요내용 정정으로 인한 효력 발생 연기 시 미뤄질 수 있어요. *공시줍줍의 모든 내용은 독자들의 이해를 돕기 위한 분석일 뿐 투자 권유 또는 주식가치 상승 및 하락을 보장하는 의미를 담고 있지 않습니다. ",2023-06-18 08:01:00,97.0,True
1,IPO,IPO 수요예측,2023-06-18,머니투데이,'공모 연기' 끝에 비로소 수요예측…시큐센·알멕은 '일반청약',http://news.mt.co.kr/mtview.php?no=2023061609233330775,"[""공모 연기"", ""수요예측"", ""일반청약"", ""공모주""]","6월 넷째 주(19~23일) IPO(기업공개) 시장에선 틸론, 이노시뮬레이션이 수요예측에 나선다. 시큐센과 알멕은 일반청약에 도전한다. 틸론·이노시뮬레이션 '수요예측'…버넥트·에이엘티는 '연기' 16일 금융투자업계에... ",시큐센,1.0,8.5,3.0,2023-06-18,3.0,"공모주 브리핑6월 넷째 주(19~23일) IPO(기업공개) 시장에선 틸론, 이노시뮬레이션이 수요예측에 나선다. 시큐센과 알멕은 일반청약에 도전한다.━틸론·이노시뮬레이션 '수요예측'…버넥트·에이엘티는 '연기'━16일 금융투자업계에 따르면 코스닥 이전상장에 도전하는 틸론은 클라우드 가상화 및 메타버스 오피스업체다. 틸론은 앞서 지난 3월 금융감독원의 증권신고서 정정 요청을 받고 공모 일정이 3개월 넘게 뒤로 밀렸다. 이 과정에서 공모희망가격은 기존 2만5000~3만원에서 2만3000~2만8000원으로 낮췄다. 틸론의 공모주식 수는 60만주(신주 모집 100%)며 138억~168억원을 조달할 예정이다. 오는 20~21일 양일간 수요예측을 실시해 23일 공모가를 확정한다. 26~27일 이틀 동안은 일반 공모청약을 진행할 예정이다. 상장 예정시기는 다음달 초며, 대표 주관사는 키움증권이다.이노시뮬레이션은 증권신고서를 두 차례 정정한 끝에 21~22일 기관투자자 대상 수요예측을 진행한다. 이노시뮬레이션은 2000년 5월에 설립된 이후 시뮬레이터, XR(확장현실) 가상훈련, XR 디바이스 및 XR 실감 콘텐츠를 개발했다. 시뮬레이터는 고난도 실험, 특수직종 전문가 훈련, 모의 전투 등 실제로 실행하기 어려운 상황과 유사하게 만든 가상환경을 말한다.이노시뮬레이션의 총 공모 주식 수는 90만주(신주 모집 100%)로, 희망 공모가 범위는 1만3000~1만5000원이다. 총 공모금액은 117억~135억원이다. 26일 공모가를 확정한 뒤, 27~28일 양일간 일반 청약을 진행할 예정이다. 다음달 6일 상장 예정이며 상장 주관사는 하나증권이다.당초 이번주 수요예측 예정이었던 XR(확장현실) 테크 기업 버넥트는 증권신고서를 정정하고 공모 일정을 3주 뒤인 다음달 중으로 미뤘다. 업계에 따르면 비메모리 반도체 후공정테스트 업체 에이엘티도 상장 일정을 연기해 조만간 정정신고서를 제출할 예정이다. 에이엘티는 당초 20~21일 수요예측을 앞두고 있었다.━시큐센·알멕 '일반청약'…SPAC도 대거 IPO 시장 참전━핀테크 플랫폼 및 보안기술 업체 시큐센은 코스닥 이전상장에 도전한다. 시큐센은 지난 2016년 코넥스 상장 이후 2021년에 코스닥으로 이전 상장할 예정이었으나 당시 상장 심사를 철회했다. 주요 사업으로는 생체인증·전자서명 솔루션 및 서비스, 보안솔루션, 보안컨설팅, 디지털 금융 구축 등이 있다. 시큐센의 생체인증·전자서명 시스템은 삼성생명, 삼성화재, 현대해상, 메리츠화재, 롯데손해보험 등에 공급됐다.총 공모주식 수는 194만8000주(신주 모집 100%)며 희망 공모가액은 2000~2400원이다. 공모금은 약 39억~47억원을 목표로 한다. 19일에 공모가액을 확정해 20~21일에 공모청약을 받아 29일 코스닥시장에 상장 예정이다. 주관사는 신한투자증권이다.전기차 알루미늄 부품제조업체 알멕은 △2차 전지 모듈 케이스 △배터리 팩 프레임 △전기차 플랫폼 프레임 등을 개발하고 있다. 2022년 연결 기준으로는 매출액은 직전년 대비 89.3% 늘어난 1567억원을 기록했다. 지난해에는 흑자전환을 하며 영업익 113억을 거뒀다.알멕의 총 공모주식 수는 100만주(신주 모집 100%)다. 희망 공모밴드인 4만~4만5000원을 초과하는 5만원에 공모가를 확저앴다. 20~21일 이틀간 일반청약을 받고, 29일 코스닥시장에 상장 예정이다. 상장 주관사는 NH투자증권이다.한편, 19~20일에는 교보스팩14호가 수요예측, 하나스팩29호는 청약에 나선다. 하이스팩8호는 22일 NH스팩29호는 23일에 상장한다.",2023-06-18 09:51:00,6.0,True
2,IPO,IPO 수요예측,2023-06-18,THE STOCK,[2023. 5월 IPO리포트①] 954억딜 '기가비스' 상장에…공모규모 작년 5월比 3...,http://www.the-stock.kr/news/articleView.html?idxno=18449,"""상장"", ""공모규모"", ""IPO"", ""기가비스"", ""수요예측""",이상의 수요예측 흥행으로 공모규모를 954억원으로 키웠다. 기가비스는 올해 상반기 IPO에서 공모규모가 가장 큰 기업에 이름을 올렸다. 무엇보다 중소형 공모 외에는 외면 받았던 최근 IPO시장에서 중형급 기가비스... ,기가비스,1.0,8.5,1.0,2023-06-18,1.0,,2023-06-18 07:36:00,8.0,False
3,IPO,상장예비심사,2023-06-18,아주경제,노크하는 코스피 IPO 가늠자들… 넥스틸·두산로보틱스·SGI서울보증 잇따라 ...,https://www.ajunews.com/view/20230618145029027,"""상장예비심사"", ""한국거래소"", ""넥스틸"", ""금융투자업계"", ""강관 전문 제조기업""",18일 금융투자업계에 따르면 한국거래소는 이르면 이번 주 유정용 강관 전문 제조기업 넥스틸에 대한 상장예비심사를 진행한다. 지난 4월 19일 예심을 청구한 넥스틸에 대한 심사 기한은 오는 27일이다. 넥스틸은 무난히... ,넥스틸,1.0,8.0,1.0,2023-06-18,2.0,,2023-06-18 16:02:00,0.0,True
4,IPO,기술특례상장,2023-06-18,디지털타임즈,"`킹덤` 원작 웹툰 만든 와이랩, `성장성 특례상장` 1호 도전",http://www.dt.co.kr/contents.html?article_no=2023061902101563066004&ref=naver,"[성장성 특례상장], [와이랩], [넷플릭스], [코스닥시장], [공모청약], [시가총액], [주관사], [기술평가등급], [풋백옵션], [신주인수권]",성장성 특례상장의 경우 기술특례와 달리 전문평가기관의 기술평가등급도 필요하지 않다. 대신 투자자 보호를 위해 '풋백옵션' 등의 의무가 주관사에 지어진다. 풋백옵션은 일정 기간 동안 주가가 공모가의 90% 아래로... ,와이랩,1.0,8.0,1.0,2023-06-18,4.0,"올해 첫 성장성 특례상장 기업이 다음달 나올 전망이다. 넷플릭스 드라마 '킹덤'의 원작을 제작한 웹툰 제작 스튜디오 와이랩이 주인공이다. 18일 투자은행(IB)업계에 따르면 적자 기업인 와이랩은 성장성 특례상장을 활용해 증시 입성에 도전한다. 와이랩은 다음달 3~4일 이틀간 코스닥시장 상장을 위한 기관 수요예측을 진행한다. 총 공모 주식수는 300만주, 공모가 희망밴드는 7000~8000원이다. 이에 따른 예상 시가총액은 1108억~1266억원이다. 일반 공모청약은 같은 달 10~11일 진행한다. 2017년 도입된 성장성 특례는 적자 상태인 기업이라도 상장 주선인(주관사)이 사업 성장성을 보고 이를 보증하는 방식으로  상장심사 청구를 하는 제도다. 와이랩의 상장주관은 한국투자증권이 맡았다. 성장성 특례상장의 경우 기술특례와 달리 전문평가기관의 기술평가등급도 필요하지 않다. 대신 투자자 보호를 위해 '풋백옵션' 등의 의무가 주관사에 지어진다. 풋백옵션은 일정 기간 동안 주가가 공모가의 90% 아래로 하락하면 공모 투자자들이 상장 주관사에 되팔 수 있는 권리다. 하지만 실상은 상장주관사들이 풋백옵션을 약속하는 대신 상장사에 상대적으로 높은 수수료와 신주인수권 등을 받아간다. 와이랩도 상장주관사인 한국투자증권에 신주인수권 30만주를 부여하는 계약을 체결했다. 앞서 지난 2019년 성장성 특례상장 2호로 코스닥에 입성한 라닉스도 주관사였던 한국투자증권에 16만주의 신주인수권을 부여했다. 와이랩 제작 웹툰의 주요 캐릭터들. 와이랩 제공    ",2023-06-18 19:48:00,0.0,True
5,IPO,IPO 수요예측,2023-06-18,연합인포맥스,하이·NH·KB 스팩 3개 社 상장…IPO 투심 개선에 재상장도,http://news.einfomax.co.kr/news/articleView.html?idxno=4270354,"[""스팩"", ""상장"", ""재상장"", ""수요예측"", ""철회""]","올해 스팩사들이 수요예측에 실패하며 상장을 철회한 가운데 재도전에 나서고 있다. 하이제8호스팩과 엔에치스팩29호는 각각 지난 4월, 3월 기관 수요예측에서 부진하며 상장철회를 했다. 하이제8호스팩의 일반... ",하이,1.0,7.0,1.0,2023-06-18,1.0,,2023-06-18 14:06:00,4.0,False
6,IPO,상장 연기,2023-06-18,이투데이,"마윈, 2년여 만에 공개행보…도쿄대 강의ㆍ알리바바 행사",https://www.etoday.co.kr/news/view/2258131,"[""마윈"", ""도쿄대"", ""알리바바"", ""금융 자회사"", ""반독점법""]","이후 알리바바의 금융 자회사인 앤트그룹의 상장은 무기한 연기됐고, 알리바바는 반독점법 위반 혐의로 거액의 벌금을 물어야 했다. 상황이 악화하자 마윈은 자신이 설립한 경영대학원인 후판대학 총장직에서... ",마윈,1.0,6.0,0.0,2023-06-18,1.0,,2023-06-18 14:02:00,61.0,False
7,IPO,상장 연기,2023-06-18,매일경제,"韓, 전세계 ETF 점유율 1% 불과 … 규제 풀고 연기금 투자 늘려야",https://www.mk.co.kr/article/10762902,"[""ETF"", ""연기금"", ""자산규모"", ""시장 확대""]",특히 해외 주요 연기금과 기관들이 자국 상장 ETF를 활용해 자산배분에 적극 나서고 있는 것과 달리 국내 ETF는 연기금의 외면을 받고 있어 대조적이다. 18일 글로벌 ETF평가기관 ETFGI에 따르면 전 세계 ETF... ,,0.0,6.0,0.0,2023-06-18,0.0,"국민연금 규정상 ETF 투자못해액티브ETF 운용 자율성도 낮아국내 ETF 시장의 비약적 성장에도 불구하고 전 세계 시장에서 국내 ETF가 차지하는 위상은 아직 걸음마 단계다. 특히 해외 주요 연기금과 기관들이 자국 상장 ETF를 활용해 자산배분에 적극 나서고 있는 것과 달리 국내 ETF는 연기금의 외면을 받고 있어 대조적이다.18일 글로벌 ETF평가기관 ETFGI에 따르면 전 세계 ETF 자산규모는 4월 말 기준 9조7360억달러(약 1경2400조원)에 이른다. 국내 ETF는 100조원 돌파를 앞두고 있지만 전 세계 시장에서 차지하는 자산규모는 1%가 채 되지 않는 것이다.국내 ETF 순자산은 달러 기준 760억달러(약 97조100억원)로, 호주(935억달러), 대만(851억달러)에도 뒤져 세계 11위에 머물고 있다. 국내 ETF 시장 1위인 삼성자산운용의 순자산이 약 40조원에 이르지만 미국의 1위 운용사 블랙록(약 3029조원) 순자산과 비교하면 1%가 조금 넘는 수준이다. 국내 ETF가 코스피 시가총액(약 2040조원)에서 차지하는 비중은 5월 말 기준 4.7% 수준이다. 반면 미국의 경우 ETF가 증시에서 차지하는 비중은 약 8.2%에 이른다.블룸버그와 삼성증권에 따르면 일본은행의 자국 상장 ETF 매입 규모만 50조엔(약 453조원)에 이른다.시장에서는 한국 ETF 시장이 세계적인 수준으로 도약하기 위해서는 연기금의 투자가 활발히 이뤄져야 한다는 주장이 나온다. 국내 ETF 시장에서 연기금의 일평균 거래대금은 5월 말 기준 39억원으로 전체 ETF 일평균 거래대금(2조7467억원)의 0.1%에 불과하다. 국내 ETF 시장에 700종이 넘는 상품이 등장할 정도로 선택지가 다양해졌지만, 국민연금은 규정상 국내 ETF 투자가 불가능하다. 국민연금기금 운용규정 60조에 따르면 국내 투자 대상은 유가증권시장이나 코스닥시장에 상장된 증권으로 제한하고 있다. 상장지수집합투자기구(ETF)는 투자 대상에서 제외돼 있다.해외 ETF는 투자대상에 포함돼 있을 뿐만 아니라 종목별 투자한도 산정에서도 제외돼 있다. 국민연금 관계자는 ""책임투자 활동을 강화하고 있는 상황에서 ETF 투자 시 의결권 행사를 할 수 없다는 점은 제약요인""이라고 설명했다. 매일경제가 최영희 국민의힘 의원실을 통해 받은 국민연금 기금운용본부 자료에 따르면 국민연금 해외 상장 ETF 투자금액은 2018년 26억달러(약 3조3000억원)에서 2021년 72억달러(약 9조2000억원)로 3배 가까이 늘었다.시장에서는 또 ETF 시장 확대를 위해 규제 완화 등이 동반돼야 한다는 지적이 나온다. 한국거래소는 액티브 ETF 시장 활성화를 위해 비교 지수 추종 비중을 70% 아래로 낮추는 방안을 금융당국과 협의하겠다고 밝혔지만 수년째 제자리걸음이다. 반면 일본은 지수를 따르지 않는 액티브 ETF가 곧 시장에 등장할 예정이다. [김정범 기자]",2023-06-18 17:52:00,0.0,False
8,IPO,상장 철회,2023-06-16,딜사이트,"스팩 상장 철회한 가이아코퍼, 20억 투자 유치",https://dealsite.co.kr/articles/105341,"[""스팩 상장 철회"", ""20억 투자 유치"", ""파인밸류자산운용"", ""DS자산운용"", ""IP 지적재산권""]","파인밸류자산운용, DS자산운용 참여…포스트 밸류에이션 200억 디즈니·마블의 지적재산권(IP)을 활용해 완구 등을 제조하는 '가이아코퍼레이션'이 기업인수목적회사(스팩)를 통한 코스닥 상장을 철회한 직후 외부... ",가이아코퍼,1.0,8.5,3.0,2023-06-17,1.0,,2023-06-16 06:36:00,4.0,False
9,IPO,기술특례상장,2023-06-17,이코노미스트,"XR기업 나란히 출사표…버넥트·이노시뮬레이션, 어디에 청약할까 [공모꾼]",https://economist.co.kr/article/view/ecn202306160031,"[""XR 기업"", ""공모꾼"", ""수요예측"", ""일반청약"", ""버넥트"", ""이노시뮬레이션"", ""산업현장"", ""모빌리티"", ""기술특례"", ""글로벌 경쟁""]",기술특례 트랙…흑자전환은 아직 버넥트와 이노시뮬레이션은 모두 기술특례 상장 트랙을 밟고 있다. 두 회사 모두 아직까지 적자가 지속되고 있어서다. 기술성 특례는 현재 이익을 내지 못하더라도 기술력과... ,버넥트,1.0,8.5,1.0,2023-06-17,1.0,"확장현실 기업 2곳 청약일정 일부 겹쳐산업현장·모빌리티 등 특화 분야 주목성장성 높은 XR, 공모가는 보수적 책정‘-꾼’은 어떤 일을 전문적으로 하는 사람, 어떤 일 때문에 모인 사람을 뜻하는 접미사입니다. ‘공모꾼’은 공모주에 진심인 투자자분들께 예비 상장사 정보와 한 주간 공모주 시장에서 가장 뜨거웠던 소식을 전합니다. 기업공개(IPO) 일정부터 증권신고서를 토대로 한 실적·밸류에이션 분석까지. 매주 토요일, 공모주 투자에 꼭 필요한 정보를 보내드립니다. [편집자주]확장현실(XR) 기업 버넥트, 이노시뮬레이션이 이달 나란히 수요예측과 일반청약을 진행한다. [사진 게티이미지뱅크][이코노미스트 마켓in 허지은 기자] 확장현실(XR) 솔루션 전문 기업 버넥트, 이노시뮬레이션이 이달 나란히 수요예측과 일반청약을 진행한다. XR은 최근 애플이 공개한 헤드셋 '비전 프로'를 비롯해 삼성전자, 퀄컴, 구글 등 글로벌 대기업들이 차세대 먹거리로 낙점한 분야다. XR 산업에 대한 시장의 관심이 커지는 가운데 두 기업의 공모 일정이 대부분 겹칠 전망이어서 어느 곳에 청약할 지에 대한 투자자들의 고민도 깊어지고 있다. 17일 금융감독원 전자공시시스템에 따르면 버넥트는 오는 19~20일 기관투자자 대상 수요예측을 진행하고 26~27일 일반투자자 대상 청약을 진행한다. 상장 주관사는 대신증권이다. 이노시뮬레이션은 21~22일 수요예측, 27~28일 일반청약을 받는다. 상장 주관사는 하나증권이다. 수요예측은 빗겨갔지만 청약 일정은 27일 하루가 겹친다. 버넥트와 이노시뮬레이션은 모두 XR솔루션 전문 기업이다. 다만 카테고리의 차이는 있다. 버넥트는 산업현장 관리에 특화된 XR 솔루션을 제공한다. 원격 현장관리 ‘리모트’, 노코드 기반 ‘메이크’, 시각화 솔루션 ‘뷰’ 등 산업용 XR솔루션 기술을 보유하고 있다. 실시간 무선 영상과 AR(증강현실)로 제조·건설에서 헬스케어 등 다양한 현장을 원격으로 관리하고 이를 XR 콘텐츠로 시각화하는 솔루션을 제공하고 있다. 이노시뮬레이션의 경우 모빌리티(차량) 전문 XR 솔루션에 특화돼있다. 사명에서 드러나듯 사업 초기엔 차량용 시뮬레이터를 주로 개발했다. 2000년 회사를 설립한 조준희 대표를 비롯해 이운성 부사장, 이지선 최고기술책임자(CTO) 등 회사의 중역들은 모두 차량 시뮬레이터 전문가들이다. 현재는 XR을 활용한 가상훈련 시스템, 자율주행·항공·국방 시뮬레이터 등으로 사업을 확장하고 있다. 업력은 이노시뮬레이션이 버넥트를 크게 앞선다. 이노시뮬레이션은 2000년, 버넥트는 2016년 각각 설립됐다. 이노시뮬레이션의 조 대표는 차량부품업체 만도에서 연구원으로 재직하다 2000년 회사를 세웠다. 버넥트는 카이스트 연구원 출신 하태진 대표가 후배 2명과 함께 설립한 회사다. 설립 8년차의 신생 기업이지만 버넥트는 지난 16일 산업통상자원부와 삼성전자, LG전자, LG디스플레이 등이 참여한 ‘XR 융합산업 동맹’에 함께 이름을 올리기도 했다. 기술특례 트랙…흑자전환은 아직버넥트와 이노시뮬레이션은 모두 기술특례 상장 트랙을 밟고 있다. 두 회사 모두 아직까지 적자가 지속되고 있어서다. 기술성 특례는 현재 이익을 내지 못하더라도 기술력과 성장성을 갖춘 기업이 IPO를 추진할 수 있도록 하는 제도다. 원활한 상장을 위해선 거래소가 인증한 22개 전문 평가기관 중 2곳에서 A 또는 BBB 이상의 기술 평가를 받아야 한다.버넥트는 지난해 매출 50억원, 영업손실 142억원을 기록했고, 이노시뮬레이션은 매출 169억원, 영업손실 18억원을 기록했다. 다만 두 회사 모두 두 개의 평가기관이 진행한 기술성 평가에서 각각 ‘A, A’ 등급을 획득하면서 기술성 측면에선 좋은 평가를 받았다. 버넥트의 희망 공모가 밴드는 1만1500~1만3600원이다. 공모 물량은 160만주로, 전량 신주 발행한다. 상장 예정 주식 수(1054만주)를 적용한 예상 시가총액은 1212억~1433억원이다. 한편 이노시뮬레이션의 희망 공모가 밴드는 1만3000~1만5000원이다. 상장 예정 주식 수 기준 예상 시가총액 상단은 1173억원이다. 두 기업 모두 공모가 산정에 주가수익비율(PER)을 적용했다. 아직까지 적자가 지속되고 있기에 2025년 추정 당기순이익을 기반으로 밸류에이션을 산정했다. 2025년 추정 순이익으로 버넥트는 96억원, 이노시뮬레이션은 115억원을 제시했다. 추정 순이익엔 글로벌 XR시장 성장률 전망치 등이 반영됐으며 이노시뮬레이션의 경우 XR디바이스 판매, 스마트 모빌리티 성장 등이 추가로 더해졌다. 산업부에 따르면 XR 산업의 연평균 성장률은 39.7%로 전망된다. 2021년 189억 달러 수준이던 글로벌 XR 시장은 2026년 1007억 달러 규모로 성장할 것으로 보인다. 스마트폰 시장의 포화와 TV 시장의 정체를 극복할 신수종이 될 수 있다는 평가다. 특히 애플, 메타 등 글로벌 선도 기업이 XR 시장에 뛰어들면서 글로벌 경쟁도 본격화되고 있다. 윤철환 한국투자증권 연구원은 “버넥트는 글로벌 진출을 위해 지난해 유럽 법인과 미국 지사를 설립했다”며 “XR 시장이 상대적으로 큰 유럽 시장에서 AR 플랫폼 제작 플랫폼 ‘Squars’를 론칭했다. 이를 시작으로 향후 XR 종합 콘텐츠의 주요 플레이어로 성장할 것으로 기대된다”고 평가했다.",2023-06-17 07:01:00,99.0,False
